obs_id,obs_title,access_url,s_ra,s_dec,s_fov,t_min,t_max,t_exptime,facility_name,instrument_name,dasch_id,plate_class,dasch_table,obs_start_utc,obs_end_utc,source_archive,source_url
ivo://org.gavo.dc/~?dasch/q/fa12819,1.5-inch Ross-Xpress observation on 1952-06-26T10:17:00.000005,http://dc.g-vo.org/getproduct/dasch/q/fa12819,,,,34189.428472222295,34189.428472222295,,Harvard-Smithsonian Center for Astrophysics,1.5-inch Ross-Xpress,fa12819,L,dasch.wide_plates,1952-06-26T10:17:00.000006262+00:00,1952-06-26T10:17:00.000006262+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/fa12899,1.5-inch Ross-Xpress observation on 1952-08-16T10:31:29.999992,http://dc.g-vo.org/getproduct/dasch/q/fa12899,,,,34240.438541666605,34240.438541666605,,Harvard-Smithsonian Center for Astrophysics,1.5-inch Ross-Xpress,fa12899,L,dasch.wide_plates,1952-08-16T10:31:29.999994637+00:00,1952-08-16T10:31:29.999994637+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/pz00165,3 inch Perkin-Zeiss Lens observation on 1955-01-16T23:00:28.499999,http://dc.g-vo.org/getproduct/dasch/q/pz00165,,,,35123.95866319444,35123.95866319444,,Harvard-Smithsonian Center for Astrophysics,3 inch Perkin-Zeiss Lens,pz00165,L2,dasch.wide_plates,1955-01-16T23:00:28.499999641+00:00,1955-01-16T23:00:28.499999641+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03420,2.8-inch Kodak Aero-Ektar observation on 1954-02-04T10:04:30.000009,http://dc.g-vo.org/getproduct/dasch/q/ka03420,,,,34777.41979166679,34777.41979166679,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03420,,dasch.wide_plates,1954-02-04T10:04:30.000010725+00:00,1954-02-04T10:04:30.000010725+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03423,2.8-inch Kodak Aero-Ektar observation on 1954-02-10T10:10:59.999984,http://dc.g-vo.org/getproduct/dasch/q/ka03423,,,,34783.42430555541,34783.42430555541,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03423,M,dasch.wide_plates,1954-02-10T10:10:59.999987484+00:00,1954-02-10T10:10:59.999987484+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03470,2.8-inch Kodak Aero-Ektar observation on 1954-03-12T06:59:59.999985,http://dc.g-vo.org/getproduct/dasch/q/ka03470,,,,34813.29166666651,34813.29166666651,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03470,,dasch.wide_plates,1954-03-12T06:59:59.999986584+00:00,1954-03-12T06:59:59.999986584+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03471,2.8-inch Kodak Aero-Ektar observation on 1954-03-12T06:59:59.999985,http://dc.g-vo.org/getproduct/dasch/q/ka03471,,,,34813.29166666651,34813.29166666651,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03471,,dasch.wide_plates,1954-03-12T06:59:59.999986584+00:00,1954-03-12T06:59:59.999986584+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03476,2.8-inch Kodak Aero-Ektar observation on 1954-03-12T06:59:59.999985,http://dc.g-vo.org/getproduct/dasch/q/ka03476,,,,34813.29166666651,34813.29166666651,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03476,,dasch.wide_plates,1954-03-12T06:59:59.999986584+00:00,1954-03-12T06:59:59.999986584+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03418,2.8-inch Kodak Aero-Ektar observation on 1954-02-04T05:21:00.000021,http://dc.g-vo.org/getproduct/dasch/q/ka03418,,,,34777.222916666884,34777.222916666884,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03418,M,dasch.wide_plates,1954-02-04T05:21:00.000018777+00:00,1954-02-04T05:21:00.000018777+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03512,2.8-inch Kodak Aero-Ektar observation on 1954-04-06T10:33:29.999989,http://dc.g-vo.org/getproduct/dasch/q/ka03512,,,,34838.43993055541,34838.43993055541,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03512,,dasch.wide_plates,1954-04-06T10:33:29.999987484+00:00,1954-04-06T10:33:29.999987484+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/fa12842,1.5-inch Ross-Xpress observation on 1952-07-21T05:59:30.000004,http://dc.g-vo.org/getproduct/dasch/q/fa12842,,,,34214.2496527778,34214.2496527778,,Harvard-Smithsonian Center for Astrophysics,1.5-inch Ross-Xpress,fa12842,L,dasch.wide_plates,1952-07-21T05:59:30.000001790+00:00,1952-07-21T05:59:30.000001790+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/fa13140,1.5-inch Ross-Xpress observation on 1953-08-04T09:12:29.999993,http://dc.g-vo.org/getproduct/dasch/q/fa13140,,,,34593.383680555504,34593.383680555504,,Harvard-Smithsonian Center for Astrophysics,1.5-inch Ross-Xpress,fa13140,L,dasch.wide_plates,1953-08-04T09:12:29.999995528+00:00,1953-08-04T09:12:29.999995528+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/kb02291,2.8-inch Kodak Aero-Ektar observation on 1952-08-22T08:29:59.999985,http://dc.g-vo.org/getproduct/dasch/q/kb02291,,,,34246.35416666651,34246.35416666651,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,kb02291,L,dasch.wide_plates,1952-08-22T08:29:59.999986584+00:00,1952-08-22T08:29:59.999986584+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/kb02307,2.8-inch Kodak Aero-Ektar observation on 1952-08-26T05:29:29.999987,http://dc.g-vo.org/getproduct/dasch/q/kb02307,,,,34250.22881944431,34250.22881944431,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,kb02307,L,dasch.wide_plates,1952-08-26T05:29:29.999988375+00:00,1952-08-26T05:29:29.999988375+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/kb02308,2.8-inch Kodak Aero-Ektar observation on 1952-08-26T06:29:30.000019,http://dc.g-vo.org/getproduct/dasch/q/kb02308,,,,34250.27048611129,34250.27048611129,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,kb02308,L,dasch.wide_plates,1952-08-26T06:29:30.000015196+00:00,1952-08-26T06:29:30.000015196+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/pz00163,3 inch Perkin-Zeiss Lens observation on 1955-01-12T20:28:09.799984,http://dc.g-vo.org/getproduct/dasch/q/pz00163,,,,35119.85289120348,35119.85289120348,,Harvard-Smithsonian Center for Astrophysics,3 inch Perkin-Zeiss Lens,pz00163,L2,dasch.wide_plates,1955-01-12T20:28:09.799980818+00:00,1955-01-12T20:28:09.799980818+00:00,Harvard DASCH,https://dc.g-vo.org/tap
ivo://org.gavo.dc/~?dasch/q/ka03287,2.8-inch Kodak Aero-Ektar observation on 1953-11-06T06:03:29.999985,http://dc.g-vo.org/getproduct/dasch/q/ka03287,,,,34687.25243055541,34687.25243055541,,Harvard-Smithsonian Center for Astrophysics,2.8-inch Kodak Aero-Ektar,ka03287,,dasch.wide_plates,1953-11-06T06:03:29.999987484+00:00,1953-11-06T06:03:29.999987484+00:00,Harvard DASCH,https://dc.g-vo.org/tap
