exposure_id,archive,site,start,ra_deg,dec_deg,launch_id,launch_datetime_utc,launch_date_utc,rocket,flight_number,launch_site,outcome,delta_days,source_url,classification,geometric_visibility
APPLAUSE:11775,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 17:23:29+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11776,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 17:39:27+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11777,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 17:50:25+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11778,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 18:04:23+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11779,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 18:24:19+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11780,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 18:40:17+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11781,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 18:51:15+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11782,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 19:06:13+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11783,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 19:38:08+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11784,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 19:54:05+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11785,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 20:05:03+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11786,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 20:20:01+00:00,68.9063,17.2147,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11787,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 21:10:53+00:00,86.4218,9.05,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11788,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 21:13:52+00:00,86.4218,9.05,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11789,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 21:29:50+00:00,86.4218,9.05,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
APPLAUSE:11790,Lippert-Astrograph (Hamburg),Hamburger Sternwarte,1951-01-30 21:32:49+00:00,86.4218,9.05,L0006,,1951-01-31,R-1,,Kapustin Yar,Successful[2],-1,https://en.wikipedia.org/wiki/1951_in_spaceflight,date_screen_only,not_evaluated
