case_id,rank_or_context,harvard_or_other_plate,poss_plate,ra_deg,dec_deg,match_sep_arcsec,harvard_snr,poss_e_snr,poss_o_snr,harvard_polarity,poss_e_polarity,poss_o_polarity,gaia_nearest_arcsec,gaia_g_mag,panstarrs_nearest_arcsec,blue_plate_nearest_arcsec,priority,classification,why_retained
DEF-001,445:E / j03761,j03761,E445/O445,97.01263,14.10006,,6.87,9.28,8.46,,,,9.7,8.8,,,high,bright-star PSF/saturation structure,Strong apparent multi-plate point-like feature later traced to saturated/structured PSF around bright Gaia star; useful morphology control against claimed anomalous point sources.
DEF-002,rank 2,ai43330,E368/O368,358.801152,50.173352,,,1.65,1.34,,,,8.763,20.02,,,high,probable emulsion/plate structure,Official unmatched Harvard detection near plate limit; absent on contemporaneous POSS E/O; 16x mosaic shows irregular/offset multi-pixel structure rather than clean stellar PSF.
DEF-003,rank 3,fa12998,E606,358.9125670784188,31.072488888888888,2.17109561837153,5.945343076729812,4.082748742611998,,-1.0,1.0,,35.95066665424093,20.036978,6.290475055560842,23.699681989096337,high,probable plate-texture/chance coincidence,"Harvard/POSS-E <=3 arcsec coincidence with opposite polarity; no close Gaia, no convincing O606 recurrence, no close Pan-STARRS source."
DEF-004,rank 12,ai43241,E306,349.7193935886763,-5.101988888888889,1.1412436700294788,9.749538718090058,4.060132675341492,7.61236161841734,1.0,-1.0,1.0,28.588160690907834,8.577388,6.415533950989938,7.775861199010245,high,likely bright-star PSF/plate structure,Very tight H/E match but opposite polarity; no close static counterpart at target; bright G~8.6 Gaia star ~29 arcsec away makes PSF/saturation structure plausible.
DEF-005,rank 13,ka02504,E318,355.9421398880555,12.947366666666667,2.093477237670432,7.157123687342993,17.75279459639347,12.314355961326283,1.0,1.0,1.0,6.606613211463992,11.948849,4.733519426628964,6.1752682522873545,medium-high,likely PSF/astrometric-offset structure,Strong same-polarity H/E structure but no <=3 arcsec Gaia/Pan-STARRS/O match; nearby G~11.95 Gaia star makes PSF structure plausible and useful as control.
DEF-006,rank 13,ka02504,E318,355.9130156629473,12.864966666666668,2.142410021432493,4.086044316780184,4.141489709298297,19.66640483502882,1.0,1.0,1.0,30.51429023709211,18.016321,6.010809528155791,30.61366749044696,very-high,unexplained H/E point-like coincidence; probable artefact until proven otherwise,"Same-polarity H/E <=3 arcsec match; no close Gaia, no O318 recurrence, nearest Pan-STARRS ~6 arcsec. Best morphology-comparison case in rank 13."
DEF-007,rank 13,ka02504,E318,355.86748342369367,12.780166666666668,2.679575840600305,4.159628875442105,4.229275336011011,6.51726263870315,-1.0,1.0,1.0,19.12254873358943,18.787212,3.535293309476909,23.271910167678627,high,likely plate-texture/chance coincidence,Opposite-polarity H/E <=3 arcsec match; no blue recurrence; only marginal ~3.5 arcsec Pan-STARRS object.
DEF-008,rank 15,fa13177,E779,359.3541579255898,24.73322222222222,2.9386454656185625,5.909393582651877,5.779951990524308,50.88381921508001,1.0,-1.0,1.0,29.199321835803463,20.093996,4.81636897291528,46.77774570550827,very-high,probable plate-texture/chance coincidence,"Opposite-polarity H/E <=3 arcsec match; no close Gaia, no O779 recurrence, no convincing Pan-STARRS source. High-value morphology comparison."
DEF-009,rank 23,ai44304,O1023,181.92842745658314,-6.897222222222222,1.1435026683537954,5.500116346223489,9.330174380334052,4.047255412707435,-1.0,1.0,-1.0,8.322734146448836,18.899218,4.54510923150628,,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,Harvard/O1023 same-negative-polarity match at 1.14 arcsec; no close Gaia; E1023 nearest peak ~7.18 arcsec with opposite polarity; Pan-STARRS nearest ~4.55 arcsec with no useful photometry.
DEF-010,rank 23,ai44304,O1023,181.85954185269966,-6.886822222222222,1.8384169782511357,5.135791730905704,6.992349469212197,4.498147047680904,-1.0,1.0,-1.0,30.050178141509743,21.263363,6.6265618307166365,,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,Harvard/O1023 same-negative-polarity match at 1.84 arcsec; no close Gaia; no E1023 persistence (~30 arcsec); Pan-STARRS nearest ~6.63 arcsec with no useful photometry.
DEF-011,rank 25,ai44306,O1023,181.85873583978858,-6.887222,2.8720027432902944,4.399284886908085,6.90551513888399,-4.558525631697727,1.0,1.0,-1.0,32.868007607565985,,7.296481092756192,32.84963652299158,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,Harvard/O1023 <=3 arcsec match; opposite polarity; no close Gaia; no E1023 persistence (~32.85 arcsec); Pan-STARRS nearest ~7.30 arcsec with no useful mean photometry.
DEF-012,rank 28,ai44247,O989,121.23664687025239,35.501489,2.279814546318494,-4.104976897345776,4.120070143686169,-4.2633921873668505,-1.0,1.0,-1.0,28.359335466880722,,3.903363266277558,26.61083479944611,high,faint-static/plate-texture ambiguity,Same-polarity H/O989 <=3 arcsec match; no close Gaia or E989 recurrence; faint Pan-STARRS source only ~3.90 arcsec away. Useful boundary/control morphology case.
DEF-013,rank 28,ai44247,O989,121.32420620788014,35.723889,2.9769549730794598,-5.162767347613231,23.00571017139198,4.033148356041117,-1.0,1.0,1.0,31.174368934380638,,3.4646869844263177,32.07421555053691,high,probable plate-texture or non-Gaia static-source ambiguity,Opposite-polarity H/O989 <=3 arcsec match; no E989 recurrence or close Gaia; Pan-STARRS ~3.46 arcsec away with i~18.6 only. Useful morphology comparison case.
DEF-014,rank 28,ai44247,O989,121.26960459846059,35.747089,2.697641769128377,7.196508138302338,34.321973251384485,7.292568098117983,1.0,1.0,1.0,32.806303840359966,,6.986529215530405,29.968300791980738,very-high,unexplained H/O point-like coincidence; probable artefact until proven otherwise,"Strong same-polarity H/O989 match (H~7.20 sigma, O~7.29 sigma) separated 2.70 arcsec; no close Gaia; no E989 recurrence; nearest Pan-STARRS ~6.99 arcsec. High-value Villarroel/Druska morphology comparison."
